Name,id,display_name,works_api_url,h_index,works_count,country_code
janos kertesz,https://openalex.org/A5044033087,János Kertész,https://api.openalex.org/works?filter=author.id:A5044033087,64.0,389.0,
mihály fazekas,https://openalex.org/A5090872107,Mihály Fazekas,https://api.openalex.org/works?filter=author.id:A5090872107,28.0,161.0,AT
stefano balietti,https://openalex.org/A5066048702,Stefano Balietti,https://api.openalex.org/works?filter=author.id:A5066048702,14.0,45.0,DE
stefan kitzler,https://openalex.org/A5034863610,Stefan Kitzler,https://api.openalex.org/works?filter=author.id:A5034863610,4.0,20.0,AT
pietro saggese,https://openalex.org/A5067146201,Pietro Saggese,https://api.openalex.org/works?filter=author.id:A5067146201,5.0,26.0,IT
bernhard haslhofer,https://openalex.org/A5078932059,Bernhard Haslhofer,https://api.openalex.org/works?filter=author.id:A5078932059,25.0,147.0,AT
matilda hellman,https://openalex.org/A5071428099,Matilda Hellman,https://api.openalex.org/works?filter=author.id:A5071428099,17.0,246.0,SE
maria skeppstedt,https://openalex.org/A5065382850,Manfred Stede,https://api.openalex.org/works?filter=author.id:A5065382850,29.0,256.0,US
salsabil arabi,https://openalex.org/A5005902842,Salsabil Arabi,https://api.openalex.org/works?filter=author.id:A5005902842,3.0,9.0,US
ian hutchins,https://openalex.org/A5020639074,B. Ian Hutchins,https://api.openalex.org/works?filter=author.id:A5020639074,20.0,40.0,US
ivan smirnov,https://openalex.org/A5107856338,Ivan Smirnov,https://api.openalex.org/works?filter=author.id:A5107856338,37.0,85.0,
paul plener,https://openalex.org/A5021149437,Paul L. Plener,https://api.openalex.org/works?filter=author.id:A5021149437,52.0,443.0,DE
salah zrigui,https://openalex.org/A5022030754,Salah Zrigui,https://api.openalex.org/works?filter=author.id:A5022030754,6.0,25.0,FR
françois portet,https://openalex.org/A5079066445,François Portet,https://api.openalex.org/works?filter=author.id:A5079066445,29.0,282.0,FR
gilles bastin,https://openalex.org/A5032218282,Hélène Bouvaist,https://api.openalex.org/works?filter=author.id:A5032218282,35.0,193.0,FR
tara sowrirajan,https://openalex.org/A5005262703,Tara Sowrirajan,https://api.openalex.org/works?filter=author.id:A5005262703,3.0,6.0,US
ryan whalen,https://openalex.org/A5086442008,Richard E. Whalen,https://api.openalex.org/works?filter=author.id:A5086442008,45.0,146.0,US
lorenzo betti,https://openalex.org/A5013688285,Federico Musciotto,https://api.openalex.org/works?filter=author.id:A5013688285,12.0,44.0,
paolo bajardi,https://openalex.org/A5070491108,Paolo Bajardi,https://api.openalex.org/works?filter=author.id:A5070491108,21.0,60.0,BY
hao cui,https://openalex.org/A5059651484,Hao Cui,https://api.openalex.org/works?filter=author.id:A5059651484,57.0,601.0,CN
alexandra rottenkolber,https://openalex.org/A5119600915,Alexandra Rottenkolber,https://api.openalex.org/works?filter=author.id:A5119600915,0.0,1.0,
kai cooper,https://openalex.org/A5027209280,Kai Cooper,https://api.openalex.org/works?filter=author.id:A5027209280,0.0,2.0,
jennah gosciak,https://openalex.org/A5114336461,Jennah Gosciak,https://api.openalex.org/works?filter=author.id:A5114336461,1.0,6.0,US
aparna balagopalan,https://openalex.org/A5010008842,Aparna Balagopalan,https://api.openalex.org/works?filter=author.id:A5010008842,10.0,35.0,US
derek ouyang,https://openalex.org/A5008551833,Derek Ouyang,https://api.openalex.org/works?filter=author.id:A5008551833,8.0,36.0,US
marzyeh ghassemi,https://openalex.org/A5070063054,Marzyeh Ghassemi,https://api.openalex.org/works?filter=author.id:A5070063054,52.0,293.0,RU
daniel e. ho,https://openalex.org/A5058408154,Daniel E. Ho,https://api.openalex.org/works?filter=author.id:A5058408154,35.0,242.0,US
mauricio bucca,https://openalex.org/A5004730433,Mauricio Bucca,https://api.openalex.org/works?filter=author.id:A5004730433,5.0,13.0,CL
roberto cantillan carrasco,https://openalex.org/A5023025001,Roberto Cantillan Carrasco,https://api.openalex.org/works?filter=author.id:A5023025001,0.0,1.0,CL
ana vranić,https://openalex.org/A5018089491,Ana Vranić,https://api.openalex.org/works?filter=author.id:A5018089491,3.0,15.0,PT
dingeman jan van der laan,https://openalex.org/A5109368065,Jan van der Laan,https://api.openalex.org/works?filter=author.id:A5109368065,9.0,42.0,NL
fijnanda van klingeren,https://openalex.org/A5069567619,Fijnanda van Klingeren,https://api.openalex.org/works?filter=author.id:A5069567619,3.0,6.0,NL
marjolijn das,https://openalex.org/A5047436850,Marjolijn Das,https://api.openalex.org/works?filter=author.id:A5047436850,16.0,30.0,NL
maël lecoursonnais,https://openalex.org/A5116428565,Maël Lecoursonnais,https://api.openalex.org/works?filter=author.id:A5116428565,0.0,2.0,SE
selcan mutgan,https://openalex.org/A5083043810,Selcan Mutgan,https://api.openalex.org/works?filter=author.id:A5083043810,3.0,7.0,SE
zhao wang,https://openalex.org/A5028273524,Jiazhao Wang,https://api.openalex.org/works?filter=author.id:A5028273524,90.0,368.0,CN
yuqi liang,https://openalex.org/A5049625771,Yan Liang,https://api.openalex.org/works?filter=author.id:A5049625771,35.0,107.0,CN
xinyi li,https://openalex.org/A5022873491,Haibo Yang,https://api.openalex.org/works?filter=author.id:A5022873491,63.0,289.0,CN
christoph kern,https://openalex.org/A5037204027,Christoph Kern,https://api.openalex.org/works?filter=author.id:A5037204027,37.0,157.0,AT
prashant garg,https://openalex.org/A5084189967,Prashant Garg,https://api.openalex.org/works?filter=author.id:A5084189967,53.0,273.0,IN
zhaolun fan,https://openalex.org/A5115449729,Zhaolun Fan,https://api.openalex.org/works?filter=author.id:A5115449729,1.0,4.0,
valentin thouzeau,https://openalex.org/A5084730447,Valentin Thouzeau,https://api.openalex.org/works?filter=author.id:A5084730447,7.0,35.0,
ying zhong,https://openalex.org/A5008429967,Ying Zhong Tang,https://api.openalex.org/works?filter=author.id:A5008429967,39.0,179.0,CN
coralie chevallier,https://openalex.org/A5048242428,Coralie Chevallier,https://api.openalex.org/works?filter=author.id:A5048242428,39.0,385.0,FR
nicolas baumard,https://openalex.org/A5069318507,Nicolas Baumard,https://api.openalex.org/works?filter=author.id:A5069318507,31.0,206.0,FR
anders weile,https://openalex.org/A5111510233,Anders Weile Larsen,https://api.openalex.org/works?filter=author.id:A5111510233,1.0,4.0,
vedran sekara,https://openalex.org/A5048176602,Vedran Sekara,https://api.openalex.org/works?filter=author.id:A5048176602,12.0,43.0,US
mikhail tamm,https://openalex.org/A5062286782,Tamm Mikhail,https://api.openalex.org/works?filter=author.id:A5062286782,0.0,1.0,RU
mila oiva,https://openalex.org/A5012681383,Mila Oiva,https://api.openalex.org/works?filter=author.id:A5012681383,5.0,43.0,EE
maximilian schich,https://openalex.org/A5070753993,Maximilian Schich,https://api.openalex.org/works?filter=author.id:A5070753993,9.0,50.0,EE
mark mets,https://openalex.org/A5066107153,Ralph C. Eagle,https://api.openalex.org/works?filter=author.id:A5066107153,65.0,515.0,US
ksenia mukhina,https://openalex.org/A5060834533,Ksenia Mukhina,https://api.openalex.org/works?filter=author.id:A5060834533,8.0,61.0,EE
diana jordan,https://openalex.org/A5030569800,C. Diana Jordan,https://api.openalex.org/works?filter=author.id:A5030569800,10.0,22.0,ZA
samuel gosling,https://openalex.org/A5077287995,Samuel D. Gosling,https://api.openalex.org/works?filter=author.id:A5077287995,88.0,326.0,US
gabriella harari,https://openalex.org/A5032381602,Gabriella M. Harari,https://api.openalex.org/works?filter=author.id:A5032381602,31.0,104.0,US
arianna pera,https://openalex.org/A5040192490,Arianna Pera,https://api.openalex.org/works?filter=author.id:A5040192490,4.0,13.0,DK
mauro martino,https://openalex.org/A5031120336,Mauro Martino,https://api.openalex.org/works?filter=author.id:A5031120336,10.0,32.0,
nima dehmamy,https://openalex.org/A5078338477,Nima Dehmamy,https://api.openalex.org/works?filter=author.id:A5078338477,10.0,46.0,US
andrea baronchelli,https://openalex.org/A5068182184,Andrea Baronchelli,https://api.openalex.org/works?filter=author.id:A5068182184,46.0,256.0,GB
cassandra gunasekaram,https://openalex.org/A5092642158,Cassandra Gunasekaram,https://api.openalex.org/works?filter=author.id:A5092642158,2.0,2.0,CH
lucio vinicius,https://openalex.org/A5049591562,Lucio Vinicius,https://api.openalex.org/works?filter=author.id:A5049591562,24.0,75.0,
andrea bamberg migliano,https://openalex.org/A5076698573,Andrea Bamberg Migliano,https://api.openalex.org/works?filter=author.id:A5076698573,35.0,112.0,
lucas gautheron,https://openalex.org/A5061836283,Lucas Gautheron,https://api.openalex.org/works?filter=author.id:A5061836283,5.0,19.0,
niraj kushwaha,https://openalex.org/A5088249087,Niraj Kant Kushwaha,https://api.openalex.org/works?filter=author.id:A5088249087,4.0,17.0,AT
katharina ledebur,https://openalex.org/A5089147251,Katharina Ledebur,https://api.openalex.org/works?filter=author.id:A5089147251,3.0,18.0,AT
